,hotelID,keywords1,keywords2,keywords3,sentiscore
85,14445,soda,odor,,0.44350000000000006
86,24416,force,Strong smell,,0.5429999999999999
87,27963,noise,not well ,,0.4720000000000001
88,7011,issue,disappointment All,,0.5372222222222223
89,8797,hours tea coffee,,,0.517
90,22013,Hospitality room,hot tub minor ,,0.44499999999999995
91,25236,water view,wife,,0.5854999999999999
92,37124,mixed drink,hot tub minor ,,0.5270588235294117
93,68833,Pizza,wife,,0.528421052631579
94,79235,way,key card,,0.5272222222222224
95,13205,bill,elevator,,0.5759999999999998
96,16423,soda,,,0.345
97,16433,late service,not recommend,,0.3550000000000001
98,19575, Great hotel. , loved it,,0.5195000000000001
99,23975,snacks,water view,,0.43631578947368427
100,26537,issue,mixed drink,,0.518
101,44308,hot tub minor ,Pizza,,0.5057894736842105
102,44894,wife,way,,0.5922222222222222
103,48975,key card,bill,,0.5452631578947369
104,74617,elevator,soda,,0.5672222222222223
105,82275,Clean rooms,Pool,,0.5025000000000001
106,2924,weekend,hours tea coffee,,0.46222222222222226
107,25444,YO bottle of Jameson,negative feelings,,0.49399999999999994
108,67334,mixed drink,cold,,0.53125
109,2169,wife,way,,0.48150000000000004
110,3837,beds,elevator,,0.47350000000000003
111,17589,soda,odor,,0.37142857142857144
112,41472,force,Strong smell,,0.4826315789473684
113,43892,noise,not well ,,0.6280000000000001
114,54867,mixed drink,cold,,0.4985000000000001
115,63710,wife,way,,0.33666666666666667
116,85220,beds,elevator,,0.4154999999999999
117,120016,soda,odor,,0.3970588235294118
118,11747,force,Strong smell,,0.4055000000000001
119,19599,noise,not well ,,0.417
120,41784,issue,disappointment All,,0.4919999999999999
121,54593,hours tea coffee,,,0.20500000000000002
122,60258,Hospitality room,hot tub minor ,,0.39625
123,126620,water view,wife,,0.5785
124,983,mixed drink,hot tub minor ,,0.4925
125,13962,Pizza,wife,,0.42866666666666664
126,15807,way,key card,,0.45944444444444443
127,16162,bill,elevator,,0.5257894736842105
128,27016,soda,,,0.4361111111111111
129,28344,late service,not recommend,,0.536
130,50368, Great hotel. , loved it,,0.4699999999999999
131,102302,snacks,water view,,0.584
132,462,issue,mixed drink,,0.41333333333333333
133,9193,beer,,,0.645
134,49478,weekend,,,0.551
135,34583,bad beer,,,0.38611111111111096
136,7730,nice perk,dam kids,,0.5700000000000002
137,68902,Clean rooms,Pool,,0.38999999999999996
138,852,floor guests,good food hot,,0.45499999999999996
139,3465,floor guests,negative feelings,,0.48842105263157903
140,7330,noise,YO bottle of Jameson,,0.67
141,12767,snacks,water view,,0.44999999999999996
142,23062,issue,mixed drink,,0.28
143,42259,hot tub minor ,margharita sweey,,0.5184210526315789
144,78733,wife,way,,0.38000000000000006
145,84936,key card,bill,,0.47250000000000003
146,1736,elevator,soda,,0.471
147,10642,Clean rooms,Pool,,0.504
148,14840,weekend,hours tea coffee,,0.5255000000000001
149,27969,YO bottle of Jameson,negative feelings,,0.5545000000000001
150,43028,mixed drink,cold,,0.5415000000000001
151,49855,wife,way,,0.57
152,68544,beds,elevator,,0.5565000000000001
153,39799,soda,odor,,0.5915
154,68629,force,Strong smell,,0.37473684210526315
155,14082,noise,not well ,,0.5552631578947368
156,24545,issue,disappointment All,,0.523
157,40279,hours tea coffee,,,0.43894736842105264
158,124342,Hospitality room,hot tub minor ,,0.40888888888888886
159,1110,water view,wife,,0.5526315789473685
160,5441,mixed drink,hot tub minor ,,0.46799999999999997
161,8483,Pizza,wife,,0.4835000000000001
162,18026,way,key card,,0.46849999999999997
163,45129,bill,elevator,,0.84
164,114399,soda,,,0.48150000000000004
165,7860,late service,not recommend,,0.44307692307692315
166,14690, Great hotel. , loved it,,0.426
167,20717,snacks,water view,,0.41062499999999996
168,21398,issue,mixed drink,,0.481
169,26127,hot tub minor ,Pizza,,0.47875
170,41841,wife,way,,0.5704999999999999
171,84110,key card,bill,,0.5842857142857143
172,125995,elevator,soda,,0.33249999999999996
173,2459,Clean rooms,Pool,,0.41050000000000003
174,2746,weekend,hours tea coffee,,0.5544444444444444
175,12518,YO bottle of Jameson,negative feelings,,0.5189999999999999
176,24719,mixed drink,cold,,0.5700000000000001
177,19498,wife,way,,0.479
178,83796,beds,elevator,,0.4035
179,1039,soda,odor,,0.43600000000000005
180,12035,force,Strong smell,,0.413888888888889
181,21391,noise,not well ,,0.5436842105263159
182,25741,mixed drink,cold,,0.5545000000000001
183,25997,wife,way,,0.48950000000000005
184,67825,beds,elevator,,0.4325
185,6439,soda,odor,,0.5599999999999999
186,23078,force,Strong smell,,0.48250000000000004
187,23212,noise,not well ,,0.5195000000000001
188,23268,issue,disappointment All,,0.4494444444444444
189,25416,hours tea coffee,,,0.4564705882352941
190,41712,Hospitality room,hot tub minor ,,0.45210526315789484
191,43010,water view,wife,,0.6340000000000001
192,9665,mixed drink,hot tub minor ,,0.5405882352941176
193,10044,Pizza,wife,,0.43
194,19826,way,key card,,0.646
195,12870,bill,elevator,,0.39315789473684204
196,25564,soda,,,0.4336842105263158
197,6400,late service,not recommend,,0.42687499999999995
198,14002, Great hotel. , loved it,,0.5565
199,19965,snacks,water view,,0.5412499999999999
200,25027,issue,mixed drink,,0.479
201,34575,beer,,,0.6692857142857143
202,116668,weekend,,,0.5700000000000001
203,10223,bad beer,,,0.5288888888888889
204,16549,nice perk,dam kids,,0.38649999999999995
205,41413,Clean rooms,Pool,,0.4810526315789475
206,48580,floor guests,good food hot,,0.35
207,53541,floor guests,negative feelings,,0.5505555555555556
208,12386,noise,YO bottle of Jameson,,0.45999999999999996
209,12753,snacks,water view,,0.5275
210,18207,issue,mixed drink,,0.549
211,44865,hot tub minor ,margharita sweey,,0.4365
212,55561,wife,way,,0.49894736842105264
213,79465,key card,bill,,0.47350000000000003
214,84742,elevator,soda,,0.5635
215,409,Clean rooms,Pool,,0.4894736842105263
216,17621,weekend,hours tea coffee,,0.5055555555555556
217,54601,YO bottle of Jameson,negative feelings,,0.4833333333333334
218,62064,mixed drink,cold,,0.5435
219,83626,wife,way,,0.455
220,5439,beds,elevator,,0.5373684210526316
221,5449,soda,odor,,0.5385
222,6997,force,Strong smell,,0.6435714285714286
223,14142,noise,not well ,,0.5400000000000001
224,18221,issue,disappointment All,,0.5557894736842105
225,22883,hours tea coffee,,,0.6075
226,67867,Hospitality room,hot tub minor ,,0.5878947368421054
227,22864,water view,wife,,0.3350000000000001
228,105083,mixed drink,hot tub minor ,,0.5210000000000001
229,106305,Pizza,wife,,0.4739999999999999
230,13188,way,key card,,0.5899999999999999
231,21029,bill,elevator,,0.5516666666666667
232,22105,soda,,,0.4590000000000001
233,84398,late service,not recommend,,0.6036842105263156
234,1521, Great hotel. , loved it,,0.5289473684210526
235,2499,snacks,water view,,0.4153333333333334
236,5437,issue,mixed drink,,0.34363636363636363
237,7668,hot tub minor ,Pizza,,0.5665
238,12068,wife,way,,0.4655555555555555
239,15179,key card,bill,,0.3950000000000001
240,18824,elevator,soda,,0.40049999999999997
241,123048,Clean rooms,Pool,,0.5305263157894737
242,13279,weekend,hours tea coffee,,0.4626315789473683
243,45264,YO bottle of Jameson,negative feelings,,0.4518181818181818
244,64413,mixed drink,cold,,0.4429999999999999
245,84319,wife,way,,0.493
246,126163,beds,elevator,,0.5838888888888889
247,155,soda,odor,,0.5325
248,757,force,Strong smell,,0.34600000000000003
249,2318,noise,not well ,,0.5744999999999999
250,26248,mixed drink,cold,,0.67
251,68420,wife,way,,0.47333333333333333
252,114932,beds,elevator,,0.5047368421052633
253,663,soda,odor,,0.6916666666666668
254,2345,force,Strong smell,,0.5744999999999999
255,6317,noise,not well ,,0.46315789473684216
256,13867,issue,disappointment All,,0.5884210526315791
257,104086,hours tea coffee,,,0.4425
258,7753,Hospitality room,hot tub minor ,,0.4955
259,9077,water view,wife,,0.5360000000000001
260,10239,mixed drink,hot tub minor ,,0.6730769230769232
261,45141,Pizza,wife,,0.5166666666666667
262,63685,way,key card,,0.5730000000000001
263,119202,bill,elevator,,0.5638888888888888
264,1059,soda,,,0.4620000000000001
265,1815,late service,not recommend,,0.5636842105263158
266,3652, Great hotel. , loved it,,0.514
267,9787,snacks,water view,,0.5640000000000001
268,17270,issue,mixed drink,,0.601764705882353
269,24626,beer,,,0.49
270,39801,weekend,,,0.5815
271,41079,bad beer,,,0.6435
272,117273,nice perk,dam kids,,0.48157894736842105
273,419,Clean rooms,Pool,,0.5321052631578947
274,6654,floor guests,good food hot,,0.5585
275,18085,floor guests,negative feelings,,0.44684210526315793
276,24021,noise,YO bottle of Jameson,,0.49700000000000005
277,67569,snacks,water view,,0.3589473684210526
278,85065,issue,mixed drink,,0.519
279,119127,hot tub minor ,margharita sweey,,0.487
280,3795,wife,way,,0.4682352941176471
281,6268,key card,bill,,0.4621052631578948
282,12415,elevator,soda,,0.41666666666666674
283,15105,Clean rooms,Pool,,0.45649999999999996
284,24393,weekend,hours tea coffee,,0.5452941176470588
285,45953,YO bottle of Jameson,negative feelings,,0.48999999999999994
286,57197,mixed drink,cold,,0.42000000000000004
287,123878,wife,way,,0.5365
288,1746,beds,elevator,,0.48900000000000016
289,6900,soda,odor,,0.5359999999999998
290,11177,force,Strong smell,,0.4830000000000001
291,15033,noise,not well ,,0.5044444444444446
292,25486,issue,disappointment All,,0.5555
293,63666,hours tea coffee,,,0.581111111111111
294,123292,Hospitality room,hot tub minor ,,0.4826315789473684
295,17899,water view,wife,,0.6716666666666667
296,20881,mixed drink,hot tub minor ,,0.5372222222222223
297,64408,Pizza,wife,,0.61625
298,84459,way,key card,,0.5674999999999999
299,3599,bill,elevator,,0.5109999999999999
300,46753,soda,,,0.5050000000000001
301,50184,late service,not recommend,,0.6771428571428572
302,65853, Great hotel. , loved it,,0.470625
303,123395,snacks,water view,,0.5875
304,10243,issue,mixed drink,,0.4665
305,48041,hot tub minor ,Pizza,,0.42799999999999994
306,73,wife,way,,0.5069999999999999
307,13493,key card,bill,,0.5331578947368422
308,65899,elevator,soda,,0.4495
309,84698,Clean rooms,Pool,,0.5399999999999999
310,1249,weekend,hours tea coffee,,0.5647368421052631
311,59729,YO bottle of Jameson,negative feelings,,0.46850000000000014
312,71784,mixed drink,cold,,0.4557142857142858
313,106653,wife,way,,0.5842105263157894
314,6727,beds,elevator,,0.5666666666666668
315,6889,soda,odor,,0.5705263157894737
316,15095,force,Strong smell,,0.5325
317,562,noise,not well ,,0.38789473684210524
318,2311,mixed drink,cold,,0.4085
319,5502,wife,way,,0.5929411764705882
320,3367,beds,elevator,,0.7164285714285715
321,5124,soda,odor,,0.4466666666666667
322,22780,force,Strong smell,,0.4535
323,23190,noise,not well ,,0.506315789473684
324,10206,issue,disappointment All,,0.4979999999999999
325,72227,hours tea coffee,,,0.475
326,82267,Hospitality room,hot tub minor ,,0.5225000000000001
327,339,water view,wife,,0.5149999999999999
328,3902,mixed drink,hot tub minor ,,0.4799999999999999
329,4409,Pizza,wife,,0.5315
330,6227,way,key card,,0.3652941176470588
331,18247,bill,elevator,,0.48450000000000004
332,27239,soda,,,0.42499999999999993
333,3067,late service,not recommend,,0.5195000000000001
334,7766, Great hotel. , loved it,,0.43100000000000016
335,9488,snacks,water view,,0.45749999999999996
336,12391,issue,mixed drink,,0.5026315789473684
337,12749,beer,,,0.5931578947368422
338,23685,weekend,,,0.5309999999999999
339,42164,bad beer,,,0.40700000000000003
340,50096,nice perk,dam kids,HmmmmmmmLots of kids,0.5549999999999999
341,5507,Clean rooms,Pool,weekend,0.4860000000000001
342,57329,floor guests,good food hot,beer,0.5238888888888888
343,5105,floor guests,negative feelings,,0.378
344,27867,noise,YO bottle of Jameson,shelf,0.35700000000000004
345,40715,snacks,water view,Evening Hoers D\'Vours,0.6039999999999999
346,71393,issue,mixed drink,cold,0.25
347,119256,hot tub minor ,margharita sweey,city,0.5205
348,126860,wife,way,beds,0.5290000000000001
349,17289,key card,bill,,0.522
350,40001,elevator,soda,,0.538
351,2380,Clean rooms,Pool,,0.5800000000000001
352,3828,weekend,hours tea coffee,,0.4465
353,11725,YO bottle of Jameson,negative feelings,,0.501578947368421
354,19287,mixed drink,cold,,0.47050000000000003
355,42036,wife,way,,0.5165
356,59244,beds,elevator,,0.5585000000000001
357,63963,soda,odor,,0.505
358,4629,force,Strong smell,,0.5725000000000001
359,27999,noise,not well ,,0.82
360,1707,issue,disappointment All,,0.48066666666666663
361,8962,hours tea coffee,,,0.45549999999999996
362,24559,Hospitality room,hot tub minor ,,0.5642105263157894
363,25476,water view,wife,,0.5131578947368421
364,126665,mixed drink,hot tub minor ,,0.6799999999999999
365,1639,Pizza,wife,,0.42277777777777775
366,1807,way,key card,,0.6699999999999999
367,23608,bill,elevator,,0.605
368,39917,soda,,,0.558
369,42961,late service,not recommend,,0.5514285714285715
370,48087, Great hotel. , loved it,,0.493
371,99626,snacks,water view,Evening Hoers D\'Vours,0.46947368421052643
372,3709,issue,mixed drink,cold,0.4515789473684211
373,12082,hot tub minor ,Pizza,city,0.506
374,13297,wife,way,beds,0.5226315789473684
375,15174,key card,bill,,0.5805263157894737
376,17345,elevator,soda,,0.4625
377,21469,Clean rooms,Pool,,0.45949999999999996
378,40814,weekend,hours tea coffee,,0.43900000000000006
379,41001,YO bottle of Jameson,negative feelings,,0.55
380,63794,mixed drink,cold,,0.6327272727272727
381,67367,wife,way,,0.4375
382,3526,beds,elevator,,0.47700000000000004
383,5870,soda,odor,,0.54
384,11566,force,Strong smell,,0.575
385,40807,noise,not well ,,0.48650000000000004
386,1230,mixed drink,cold,,0.527
387,2511,wife,way,,0.5042857142857143
388,4841,beds,elevator,,0.581
389,8787,soda,odor,,0.42400000000000004
390,11746,force,Strong smell,,0.78
391,12933,noise,not well ,,0.46444444444444444
392,27710,issue,disappointment All,,0.5344999999999999
393,8813,hours tea coffee,,,0.4744444444444445
394,12340,Hospitality room,hot tub minor ,,0.52
395,22260,water view,wife,,0.4800000000000001
396,25267,mixed drink,hot tub minor ,,0.4994736842105264
397,117294,Pizza,wife,,0.5735
398,11591,way,key card,,0.5505263157894738
399,17809,bill,elevator,,0.5105882352941177
400,119030,soda,,,0.478235294117647
401,121299,late service,not recommend,,0.38263157894736843
402,1990, Great hotel. , loved it,,0.5223529411764707
403,805,snacks,water view,Evening Hoers D\'Vours,0.3959999999999999
404,1284,issue,mixed drink,cold,0.5458823529411765
405,13608,beer,,,0.32888888888888895
406,124476,weekend,,,0.4835
407,99629,bad beer,,,0.637
408,8586,nice perk,dam kids,,0.6026315789473685
409,40517,Clean rooms,Pool,,0.32
410,41278,floor guests,good food hot,,0.44555555555555554
411,70839,floor guests,negative feelings,,0.5175
412,12303,noise,YO bottle of Jameson,,0.6394999999999998
413,64785,snacks,water view,,0.5614285714285714
414,119182,issue,mixed drink,,0.5489473684210525
415,41277,hot tub minor ,margharita sweey,,0.5215
416,21038,wife,way,,0.5883333333333334
417,66248,key card,bill,,0.2966666666666667
418,7847,elevator,soda,,0.561
419,14754,Clean rooms,Pool,,0.42947368421052634
420,25386,weekend,hours tea coffee,,0.469
421,41263,YO bottle of Jameson,negative feelings,,0.5720000000000001
422,71394,mixed drink,cold,,0.5900000000000001
423,27511,wife,way,,0.5373684210526316
424,69882,beds,elevator,,0.48599999999999993
425,2990,soda,odor,,0.526
426,4256,force,Strong smell,,0.599
427,6427,noise,not well ,,0.598
428,8289,issue,disappointment All,,0.5194736842105263
429,13668,hours tea coffee,,,0.4847368421052632
430,17105,Hospitality room,hot tub minor ,,0.42947368421052634
431,18635,water view,wife,,0.3874999999999999
432,21688,mixed drink,hot tub minor ,,0.560625
433,8991,Pizza,wife,,0.454
434,15599,way,key card,,0.4633333333333333
435,25764,bill,elevator,,0.5878947368421054
436,39159,soda,,,0.4345
437,34348,late service,not recommend,,0.515263157894737
438,42875, Great hotel. , loved it,,0.5015000000000001
439,43966,snacks,water view,,0.745
440,79534,issue,mixed drink,,0.4394736842105264
441,7724,hot tub minor ,Pizza,,0.542
442,25709,wife,way,,0.4557894736842105
443,28376,key card,bill,,0.54
444,42172,elevator,soda,,0.5994999999999999
445,18560,Clean rooms,Pool,,0.5875
446,25250,weekend,hours tea coffee,,0.34
447,112569,YO bottle of Jameson,negative feelings,,0.501578947368421
448,560,mixed drink,cold,,0.5099999999999999
449,19465,wife,way,,0.4921052631578949
450,81720,beds,elevator,,0.6633333333333333
451,119159,soda,odor,,0.5720000000000001
452,3255,force,Strong smell,,0.56
453,2039,noise,not well ,,0.14
454,11881,mixed drink,cold,,0.4911111111111111
455,11991,wife,way,,0.513
456,16631,beds,elevator,,0.36
457,50215,soda,odor,,0.5247368421052632
458,64020,force,Strong smell,,0.7033333333333333
459,115954,noise,not well ,,0.45210526315789473
460,1057,issue,disappointment All,,0.25333333333333335
461,26372,hours tea coffee,,,0.5741176470588234
462,41247,Hospitality room,hot tub minor ,,0.4984210526315788
463,4574,water view,wife,,0.5066666666666667
464,26487,mixed drink,hot tub minor ,,0.5121052631578947
465,26568,Pizza,wife,,0.5825000000000001
466,34244,way,key card,,0.48
467,1157,bill,elevator,,0.4505
468,6636,soda,,,0.45722222222222225
469,14868,late service,not recommend,,0.5145000000000002
470,104932, Great hotel. , loved it,,0.22714285714285712
471,5847,snacks,water view,,0.47700000000000004
472,11284,issue,mixed drink,,0.5326315789473685
473,12912,beer,,,0.5499999999999999
474,25566,weekend,,,0.40421052631578946
475,40380,bad beer,,,0.41550000000000004
476,42013,nice perk,dam kids,,0.5345
477,43849,Clean rooms,Pool,,0.4875
478,75251,floor guests,good food hot,,0.4794736842105263
479,127400,floor guests,negative feelings,,0.455
480,1927,noise,YO bottle of Jameson,,0.454
481,2433,snacks,water view,,0.7266666666666667
482,5611,issue,mixed drink,,0.48900000000000005
483,13560,hot tub minor ,margharita sweey,,0.4969999999999999
484,17689,wife,way,,0.5115000000000001
485,17980,key card,bill,,0.616
486,21287,elevator,soda,,0.5349999999999999
487,22896,Clean rooms,Pool,,0.48600000000000004
488,43288,weekend,hours tea coffee,,0.4673684210526316
489,51146,YO bottle of Jameson,negative feelings,,0.47000000000000003
490,106623,mixed drink,cold,,0.37
491,8120,wife,way,,0.5561111111111111
492,17149,beds,elevator,,0.4119999999999999
493,21795,soda,odor,,0.6074999999999999
494,24615,force,Strong smell,,0.47600000000000003
495,68168,noise,not well ,,0.6325000000000001
496,106608,issue,disappointment All,,0.49
497,1681,hours tea coffee,,,0.5005263157894736
498,2109,Hospitality room,hot tub minor ,,0.49549999999999994
499,5665,water view,wife,,0.48949999999999994
500,24055,mixed drink,hot tub minor ,,0.491
501,81396,Pizza,wife,,0.43550000000000005
502,119249,way,key card,,0.5959999999999999
503,15972,bill,elevator,,0.5489999999999999
504,17726,soda,,,0.39625
505,63106,late service,not recommend,,0.4715000000000001
506,119300, Great hotel. , loved it,,0.4026315789473684
507,1395,snacks,water view,,0.5090000000000001
508,2205,issue,mixed drink,,0.5489473684210524
509,23083,hot tub minor ,Pizza,,0.6147368421052632
510,39986,wife,way,,0.5821428571428571
511,115976,key card,bill,,0.46950000000000003
512,1840,elevator,soda,,0.5525
513,6126,Clean rooms,Pool,,0.4625
514,8533,weekend,hours tea coffee,,0.43900000000000006
515,18389,YO bottle of Jameson,negative feelings,,0.4790000000000001
516,19630,mixed drink,cold,,0.5178947368421052
517,19700,wife,way,,0.4838461538461539
518,4690,beds,elevator,,0.665
519,7405,soda,odor,,0.5615789473684211
520,8162,force,Strong smell,,0.437
521,19992,noise,not well ,,0.48
522,36839,mixed drink,cold,,0.4630000000000001
523,106817,wife,way,,0.563
524,116702,beds,elevator,,0.5145454545454545
525,5988,soda,odor,,0.45882352941176463
526,25223,force,Strong smell,,0.5747368421052632
527,34278,noise,not well ,,0.4870588235294117
528,13170,issue,disappointment All,,0.47263157894736846
529,14259,hours tea coffee,,,0.5005
530,16730,Hospitality room,hot tub minor ,,0.5255555555555556
531,28260,water view,wife,,0.47
532,8937,mixed drink,hot tub minor ,,0.4864705882352942
533,14055,Pizza,wife,,0.5625000000000002
534,1131,way,key card,,0.5541176470588235
535,2762,bill,elevator,,0.44650000000000006
536,43052,soda,,,0.38749999999999996
537,50189,late service,not recommend,,0.4221052631578947
538,116983, Great hotel. , loved it,,0.48000000000000004
539,70283,snacks,water view,,0.6066666666666666
540,21419,issue,mixed drink,,0.5165
541,25070,beer,,,0.5468421052631578
542,4548,weekend,,,0.48949999999999994
543,13994,bad beer,,,0.505
544,8660,nice perk,dam kids,,0.521
545,40537,Clean rooms,Pool,,0.5965
546,84462,floor guests,good food hot,,0.5494736842105263
547,14785,floor guests,negative feelings,,0.34
548,44849,noise,YO bottle of Jameson,,0.538125
549,84992,snacks,water view,,0.47199999999999986
550,848,issue,mixed drink,,0.4826315789473685
551,2103,hot tub minor ,margharita sweey,,0.4327272727272728
552,3376,wife,way,,0.665
553,5116,key card,bill,,0.33
554,7958,elevator,soda,,0.5211111111111113
555,18611,Clean rooms,Pool,,0.5109999999999999
556,22180,weekend,hours tea coffee,,0.5349999999999999
557,23776,YO bottle of Jameson,negative feelings,,0.522
558,49817,mixed drink,cold,,0.3775
559,50810,wife,way,,0.5335
560,63016,beds,elevator,,0.531578947368421
561,79311,soda,odor,,0.47300000000000003
562,8150,force,Strong smell,,0.45866666666666667
563,24085,noise,not well ,,0.6942857142857143
564,122819,issue,disappointment All,,0.45999999999999985
565,8161,hours tea coffee,,,0.44650000000000006
566,5422,Hospitality room,hot tub minor ,,0.48000000000000004
567,7297,water view,wife,,0.35000000000000003
568,10282,mixed drink,hot tub minor ,,0.5138461538461538
569,25369,Pizza,wife,,0.5933333333333333
570,68281,way,key card,,0.675
571,19663,bill,elevator,,0.4056249999999999
572,2413,soda,,,0.5790000000000001
573,18127,late service,not recommend,,0.42750000000000005
574,18388, Great hotel. , loved it,,0.28090909090909094
575,18420,snacks,water view,,0.5955000000000001
576,4175,issue,mixed drink,,0.5555
577,13732,hot tub minor ,Pizza,,0.508421052631579
578,25270,wife,way,,0.4163157894736842
579,51159,key card,bill,,0.5655
580,57972,elevator,soda,,0.5015
581,67469,Clean rooms,Pool,,0.5364705882352941
582,1389,weekend,hours tea coffee,,0.605
583,9671,YO bottle of Jameson,negative feelings,,0.4157894736842105
584,53586,mixed drink,cold,,0.33947368421052626
585,67407,wife,way,,0.5575000000000001
586,97892,beds,elevator,,0.4494444444444444
587,15498,soda,odor,,0.37692307692307697
588,16402,force,Strong smell,,0.43
589,23775,noise,not well ,,0.46947368421052643
590,42502,mixed drink,cold,,0.4045000000000001
591,43319,wife,way,,0.52
592,4131,beds,elevator,,0.93
593,6473,soda,odor,,0.4640000000000001
594,9410,force,Strong smell,,0.5294736842105263
595,43238,noise,not well ,,0.417
596,7088,issue,disappointment All,,0.4385
597,7114,hours tea coffee,,,0.546
598,14551,Hospitality room,hot tub minor ,,0.49526315789473674
599,18177,water view,wife,,0.5519999999999999
600,42306,mixed drink,hot tub minor ,,0.5347368421052632
601,18618,Pizza,wife,,0.5255000000000001
602,20153,way,key card,,0.4405
603,24297,bill,elevator,,0.5339999999999999
604,61807,soda,,,0.6166666666666667
605,3469,late service,not recommend,,0.5273684210526316
606,6100, Great hotel. , loved it,,0.7266666666666667
607,15447,snacks,water view,,0.385
608,15930,issue,mixed drink,,0.48650000000000004
609,23698,beer,,,0.5060000000000001
610,64175,weekend,,,0.401875
611,120653,bad beer,,,0.2288888888888889
612,9678,nice perk,dam kids,,0.44263157894736843
613,9953,Clean rooms,Pool,,0.5336842105263158
614,14260,floor guests,good food hot,,0.426
615,20526,floor guests,negative feelings,,0.5515789473684212
616,20991,noise,YO bottle of Jameson,,0.33
617,25582,snacks,water view,,0.8325
618,26304,issue,mixed drink,,0.5115789473684211
619,27592,hot tub minor ,margharita sweey,,0.44299999999999995
620,9279,wife,way,,0.5233333333333332
621,23662,key card,bill,,0.22166666666666668
622,2330,elevator,soda,,0.47700000000000004
