hotelID,keywords1,keywords2,keywords3
5439,beds,elevator,
5449,soda,odor,
6997,force,Strong smell,
14142,noise,not well ,
18221,issue,disappointment All,
22883,hours tea coffee,,
67867,Hospitality room,hot tub minor ,
22864,water view,wife,
105083,mixed drink,hot tub minor ,
106305,Pizza,wife,
13188,way,key card,
21029,bill,elevator,
22105,soda,,
84398,late service,not recommend,
1521, Great hotel. , loved it,
2499,snacks,water view,
5437,issue,mixed drink,
7668,hot tub minor ,Pizza,
12068,wife,way,
15179,key card,bill,
18824,elevator,soda,
123048,Clean rooms,Pool,
13279,weekend,hours tea coffee,
45264,YO bottle of Jameson,negative feelings,
64413,mixed drink,cold,
84319,wife,way,
126163,beds,elevator,
155,soda,odor,
757,force,Strong smell,
2318,noise,not well ,
26248,mixed drink,cold,
68420,wife,way,
114932,beds,elevator,
663,soda,odor,
2345,force,Strong smell,
6317,noise,not well ,
13867,issue,disappointment All,
104086,hours tea coffee,,
7753,Hospitality room,hot tub minor ,
9077,water view,wife,
10239,mixed drink,hot tub minor ,
45141,Pizza,wife,
63685,way,key card,
119202,bill,elevator,
1059,soda,,
1815,late service,not recommend,
3652, Great hotel. , loved it,
9787,snacks,water view,
17270,issue,mixed drink,
24626,beer,,
39801,weekend,,
41079,bad beer,,
117273,nice perk,dam kids,
419,Clean rooms,Pool,
6654,floor guests,good food hot,
18085,floor guests,negative feelings,
24021,noise,YO bottle of Jameson,
67569,snacks,water view,
85065,issue,mixed drink,
119127,hot tub minor ,margharita sweey,
3795,wife,way,
6268,key card,bill,
12415,elevator,soda,
15105,Clean rooms,Pool,
24393,weekend,hours tea coffee,
45953,YO bottle of Jameson,negative feelings,
57197,mixed drink,cold,
123878,wife,way,
1746,beds,elevator,
6900,soda,odor,
11177,force,Strong smell,
15033,noise,not well ,
25486,issue,disappointment All,
63666,hours tea coffee,,
123292,Hospitality room,hot tub minor ,
17899,water view,wife,
20881,mixed drink,hot tub minor ,
64408,Pizza,wife,
84459,way,key card,
3599,bill,elevator,
46753,soda,,
50184,late service,not recommend,
65853, Great hotel. , loved it,
123395,snacks,water view,
10243,issue,mixed drink,
48041,hot tub minor ,Pizza,
73,wife,way,
13493,key card,bill,
65899,elevator,soda,
84698,Clean rooms,Pool,
1249,weekend,hours tea coffee,
59729,YO bottle of Jameson,negative feelings,
71784,mixed drink,cold,
106653,wife,way,
6727,beds,elevator,
6889,soda,odor,
15095,force,Strong smell,
562,noise,not well ,
2311,mixed drink,cold,
5502,wife,way,
3367,beds,elevator,
5124,soda,odor,
22780,force,Strong smell,
23190,noise,not well ,
10206,issue,disappointment All,
72227,hours tea coffee,,
82267,Hospitality room,hot tub minor ,
339,water view,wife,
3902,mixed drink,hot tub minor ,
4409,Pizza,wife,
6227,way,key card,
18247,bill,elevator,
27239,soda,,
3067,late service,not recommend,
7766, Great hotel. , loved it,
9488,snacks,water view,
12391,issue,mixed drink,
12749,beer,,
23685,weekend,,
42164,bad beer,,
50096,nice perk,dam kids,HmmmmmmmLots of kids
5507,Clean rooms,Pool,weekend
57329,floor guests,good food hot,beer
5105,floor guests,negative feelings,
27867,noise,YO bottle of Jameson,shelf
40715,snacks,water view,Evening Hoers D\'Vours
71393,issue,mixed drink,cold
119256,hot tub minor ,margharita sweey,city
126860,wife,way,beds
17289,key card,bill,
40001,elevator,soda,
2380,Clean rooms,Pool,
3828,weekend,hours tea coffee,
11725,YO bottle of Jameson,negative feelings,
19287,mixed drink,cold,
42036,wife,way,
59244,beds,elevator,
63963,soda,odor,
4629,force,Strong smell,
27999,noise,not well ,
1707,issue,disappointment All,
8962,hours tea coffee,,
24559,Hospitality room,hot tub minor ,
25476,water view,wife,
126665,mixed drink,hot tub minor ,
1639,Pizza,wife,
1807,way,key card,
23608,bill,elevator,
39917,soda,,
42961,late service,not recommend,
48087, Great hotel. , loved it,
99626,snacks,water view,Evening Hoers D\'Vours
3709,issue,mixed drink,cold
12082,hot tub minor ,Pizza,city
13297,wife,way,beds
15174,key card,bill,
17345,elevator,soda,
21469,Clean rooms,Pool,
40814,weekend,hours tea coffee,
41001,YO bottle of Jameson,negative feelings,
63794,mixed drink,cold,
67367,wife,way,
3526,beds,elevator,
5870,soda,odor,
11566,force,Strong smell,
40807,noise,not well ,
1230,mixed drink,cold,
2511,wife,way,
4841,beds,elevator,
8787,soda,odor,
11746,force,Strong smell,
12933,noise,not well ,
27710,issue,disappointment All,
8813,hours tea coffee,,
12340,Hospitality room,hot tub minor ,
22260,water view,wife,
25267,mixed drink,hot tub minor ,
117294,Pizza,wife,
11591,way,key card,
17809,bill,elevator,
119030,soda,,
121299,late service,not recommend,
1990, Great hotel. , loved it,
805,snacks,water view,Evening Hoers D\'Vours
1284,issue,mixed drink,cold
13608,beer,,
124476,weekend,,
99629,bad beer,,
8586,nice perk,dam kids,
40517,Clean rooms,Pool,
41278,floor guests,good food hot,
70839,floor guests,negative feelings,
12303,noise,YO bottle of Jameson,
64785,snacks,water view,
119182,issue,mixed drink,
41277,hot tub minor ,margharita sweey,
21038,wife,way,
66248,key card,bill,
7847,elevator,soda,
14754,Clean rooms,Pool,
25386,weekend,hours tea coffee,
41263,YO bottle of Jameson,negative feelings,
71394,mixed drink,cold,
27511,wife,way,
69882,beds,elevator,
2990,soda,odor,
4256,force,Strong smell,
6427,noise,not well ,
8289,issue,disappointment All,
13668,hours tea coffee,,
17105,Hospitality room,hot tub minor ,
18635,water view,wife,
21688,mixed drink,hot tub minor ,
8991,Pizza,wife,
15599,way,key card,
25764,bill,elevator,
39159,soda,,
34348,late service,not recommend,
42875, Great hotel. , loved it,
43966,snacks,water view,
79534,issue,mixed drink,
7724,hot tub minor ,Pizza,
25709,wife,way,
28376,key card,bill,
42172,elevator,soda,
18560,Clean rooms,Pool,
25250,weekend,hours tea coffee,
112569,YO bottle of Jameson,negative feelings,
560,mixed drink,cold,
19465,wife,way,
81720,beds,elevator,
119159,soda,odor,
3255,force,Strong smell,
2039,noise,not well ,
11881,mixed drink,cold,
11991,wife,way,
16631,beds,elevator,
50215,soda,odor,
64020,force,Strong smell,
115954,noise,not well ,
1057,issue,disappointment All,
26372,hours tea coffee,,
41247,Hospitality room,hot tub minor ,
4574,water view,wife,
26487,mixed drink,hot tub minor ,
26568,Pizza,wife,
34244,way,key card,
1157,bill,elevator,
6636,soda,,
14868,late service,not recommend,
104932, Great hotel. , loved it,
5847,snacks,water view,
11284,issue,mixed drink,
12912,beer,,
25566,weekend,,
40380,bad beer,,
42013,nice perk,dam kids,
43849,Clean rooms,Pool,
75251,floor guests,good food hot,
127400,floor guests,negative feelings,
1927,noise,YO bottle of Jameson,
2433,snacks,water view,
5611,issue,mixed drink,
13560,hot tub minor ,margharita sweey,
17689,wife,way,
17980,key card,bill,
21287,elevator,soda,
22896,Clean rooms,Pool,
43288,weekend,hours tea coffee,
51146,YO bottle of Jameson,negative feelings,
106623,mixed drink,cold,
8120,wife,way,
17149,beds,elevator,
21795,soda,odor,
24615,force,Strong smell,
68168,noise,not well ,
106608,issue,disappointment All,
1681,hours tea coffee,,
2109,Hospitality room,hot tub minor ,
5665,water view,wife,
24055,mixed drink,hot tub minor ,
81396,Pizza,wife,
119249,way,key card,
15972,bill,elevator,
17726,soda,,
63106,late service,not recommend,
119300, Great hotel. , loved it,
1395,snacks,water view,
2205,issue,mixed drink,
23083,hot tub minor ,Pizza,
39986,wife,way,
115976,key card,bill,
1840,elevator,soda,
6126,Clean rooms,Pool,
8533,weekend,hours tea coffee,
18389,YO bottle of Jameson,negative feelings,
19630,mixed drink,cold,
19700,wife,way,
4690,beds,elevator,
7405,soda,odor,
8162,force,Strong smell,
19992,noise,not well ,
36839,mixed drink,cold,
106817,wife,way,
116702,beds,elevator,
5988,soda,odor,
25223,force,Strong smell,
34278,noise,not well ,
13170,issue,disappointment All,
14259,hours tea coffee,,
16730,Hospitality room,hot tub minor ,
28260,water view,wife,
8937,mixed drink,hot tub minor ,
14055,Pizza,wife,
1131,way,key card,
2762,bill,elevator,
43052,soda,,
50189,late service,not recommend,
116983, Great hotel. , loved it,
70283,snacks,water view,
21419,issue,mixed drink,
25070,beer,,
4548,weekend,,
13994,bad beer,,
8660,nice perk,dam kids,
40537,Clean rooms,Pool,
84462,floor guests,good food hot,
14785,floor guests,negative feelings,
44849,noise,YO bottle of Jameson,
84992,snacks,water view,
848,issue,mixed drink,
2103,hot tub minor ,margharita sweey,
3376,wife,way,
5116,key card,bill,
7958,elevator,soda,
18611,Clean rooms,Pool,
22180,weekend,hours tea coffee,
23776,YO bottle of Jameson,negative feelings,
49817,mixed drink,cold,
50810,wife,way,
63016,beds,elevator,
79311,soda,odor,
8150,force,Strong smell,
24085,noise,not well ,
122819,issue,disappointment All,
8161,hours tea coffee,,
5422,Hospitality room,hot tub minor ,
7297,water view,wife,
10282,mixed drink,hot tub minor ,
25369,Pizza,wife,
68281,way,key card,
19663,bill,elevator,
2413,soda,,
18127,late service,not recommend,
18388, Great hotel. , loved it,
18420,snacks,water view,
4175,issue,mixed drink,
13732,hot tub minor ,Pizza,
25270,wife,way,
51159,key card,bill,
57972,elevator,soda,
67469,Clean rooms,Pool,
1389,weekend,hours tea coffee,
9671,YO bottle of Jameson,negative feelings,
53586,mixed drink,cold,
67407,wife,way,
97892,beds,elevator,
15498,soda,odor,
16402,force,Strong smell,
23775,noise,not well ,
42502,mixed drink,cold,
43319,wife,way,
4131,beds,elevator,
6473,soda,odor,
9410,force,Strong smell,
43238,noise,not well ,
7088,issue,disappointment All,
7114,hours tea coffee,,
14551,Hospitality room,hot tub minor ,
18177,water view,wife,
42306,mixed drink,hot tub minor ,
18618,Pizza,wife,
20153,way,key card,
24297,bill,elevator,
61807,soda,,
3469,late service,not recommend,
6100, Great hotel. , loved it,
15447,snacks,water view,
15930,issue,mixed drink,
23698,beer,,
64175,weekend,,
120653,bad beer,,
9678,nice perk,dam kids,
9953,Clean rooms,Pool,
14260,floor guests,good food hot,
20526,floor guests,negative feelings,
20991,noise,YO bottle of Jameson,
25582,snacks,water view,
26304,issue,mixed drink,
27592,hot tub minor ,margharita sweey,
9279,wife,way,
23662,key card,bill,
2330,elevator,soda,
8811,Clean rooms,Pool,
15244,weekend,hours tea coffee,
15595,YO bottle of Jameson,negative feelings,
16241,mixed drink,cold,
40242,wife,way,
23122,beds,elevator,
26631,soda,odor,
68176,force,Strong smell,
4595,noise,not well ,
5299,issue,disappointment All,
15848,hours tea coffee,,
17551,Hospitality room,hot tub minor ,
17690,water view,wife,
22062,mixed drink,hot tub minor ,
26221,Pizza,wife,
42542,way,key card,
78783,bill,elevator,
12044,soda,,
22765,late service,not recommend,
23121, Great hotel. , loved it,
4861,snacks,water view,
5465,issue,mixed drink,
19796,hot tub minor ,Pizza,
20619,wife,way,
23840,key card,bill,
25984,elevator,soda,
54834,Clean rooms,Pool,
19385,weekend,hours tea coffee,
41060,YO bottle of Jameson,negative feelings,
42279,mixed drink,cold,
68600,wife,way,
77718,beds,elevator,
84529,soda,odor,
123915,force,Strong smell,
3744,noise,not well ,
27631,mixed drink,cold,
5792,wife,way,
24242,beds,elevator,
3629,soda,odor,
9261,force,Strong smell,
17531,noise,not well ,
18989,issue,disappointment All,
23321,hours tea coffee,,
50808,Hospitality room,hot tub minor ,
84591,water view,wife,
6838,mixed drink,hot tub minor ,
22066,Pizza,wife,
28238,way,key card,
43948,bill,elevator,
9950,soda,,
16683,late service,not recommend,
43109, Great hotel. , loved it,
15073,snacks,water view,
16845,issue,mixed drink,
24513,beer,,
41392,weekend,,
1786,bad beer,,
1863,nice perk,dam kids,HmmmmmmmLots of kids
8339,Clean rooms,Pool,weekend
7338,floor guests,good food hot,beer
7629,floor guests,negative feelings,
13469,noise,YO bottle of Jameson,shelf
13652,snacks,water view,Evening Hoers D\'Vours
25421,issue,mixed drink,cold
1654,hot tub minor ,margharita sweey,city
8862,wife,way,beds
17227,key card,bill,
19028,elevator,soda,
22998,Clean rooms,Pool,
24850,weekend,hours tea coffee,
49715,YO bottle of Jameson,negative feelings,
54134,mixed drink,cold,
84995,wife,way,
5830,beds,elevator,
11989,soda,odor,
13448,force,Strong smell,
13978,noise,not well ,
16208,issue,disappointment All,
20185,hours tea coffee,,
40496,Hospitality room,hot tub minor ,
116629,water view,wife,
118031,mixed drink,hot tub minor ,
25222,Pizza,wife,
50151,way,key card,
125089,bill,elevator,
1698,soda,,
5991,late service,not recommend,
14125, Great hotel. , loved it,
84254,snacks,water view,Evening Hoers D\'Vours
4991,issue,mixed drink,cold
8522,hot tub minor ,Pizza,city
24662,wife,way,beds
33,key card,bill,
10651,elevator,soda,
119295,Clean rooms,Pool,
609,weekend,hours tea coffee,
9489,YO bottle of Jameson,negative feelings,
12381,mixed drink,cold,
19207,wife,way,
19536,beds,elevator,
21683,soda,odor,
104348,force,Strong smell,
231,noise,not well ,
5700,mixed drink,cold,
10116,wife,way,
15107,beds,elevator,
16337,soda,odor,
21534,force,Strong smell,
23648,noise,not well ,
68136,issue,disappointment All,
83096,hours tea coffee,,
84745,Hospitality room,hot tub minor ,
112272,water view,wife,
9327,mixed drink,hot tub minor ,
16407,Pizza,wife,
19581,way,key card,
47254,bill,elevator,
54976,soda,,
11651,late service,not recommend,
15275, Great hotel. , loved it,
18209,snacks,water view,Evening Hoers D\'Vours
26079,issue,mixed drink,cold
5823,beer,,
9259,weekend,,
22009,bad beer,,
40323,nice perk,dam kids,
50252,Clean rooms,Pool,
75755,floor guests,good food hot,
82665,floor guests,negative feelings,
122863,noise,YO bottle of Jameson,
2049,snacks,water view,
7444,issue,mixed drink,
14441,hot tub minor ,margharita sweey,
23498,wife,way,
5841,key card,bill,
41063,elevator,soda,
57010,Clean rooms,Pool,
5090,weekend,hours tea coffee,
27711,YO bottle of Jameson,negative feelings,
119322,mixed drink,cold,
1073,wife,way,
1904,beds,elevator,
9322,soda,odor,
10932,force,Strong smell,
15622,noise,not well ,
18938,issue,disappointment All,
22461,hours tea coffee,,
56062,Hospitality room,hot tub minor ,
77834,water view,wife,
19836,mixed drink,hot tub minor ,
28132,Pizza,wife,
34221,way,key card,
106307,bill,elevator,
2906,soda,,
3775,late service,not recommend,
7377, Great hotel. , loved it,
8374,snacks,water view,
25979,issue,mixed drink,
41400,hot tub minor ,Pizza,
57125,wife,way,
64872,key card,bill,
113402,elevator,soda,
27177,Clean rooms,Pool,
51066,weekend,hours tea coffee,
85300,YO bottle of Jameson,negative feelings,
7961,mixed drink,cold,
16353,wife,way,
12024,beds,elevator,
12125,soda,odor,
14079,force,Strong smell,
21371,noise,not well ,
8894,mixed drink,cold,
12097,wife,way,
14336,beds,elevator,
18730,soda,odor,
22162,force,Strong smell,
62393,noise,not well ,
118456,issue,disappointment All,
53270,hours tea coffee,,
54671,Hospitality room,hot tub minor ,
55999,water view,wife,
4630,mixed drink,hot tub minor ,
15652,Pizza,wife,
17256,way,key card,
20494,bill,elevator,
21517,soda,,
84691,late service,not recommend,
9539, Great hotel. , loved it,
10703,snacks,water view,
10999,issue,mixed drink,
11562,beer,,
14116,weekend,,
15236,bad beer,,
16319,nice perk,dam kids,
26715,Clean rooms,Pool,
42332,floor guests,good food hot,
2667,floor guests,negative feelings,
43002,noise,YO bottle of Jameson,
13603,snacks,water view,
57584,issue,mixed drink,
6803,hot tub minor ,margharita sweey,
118680,wife,way,
9090,key card,bill,
15988,elevator,soda,
67740,Clean rooms,Pool,
70231,weekend,hours tea coffee,
13095,YO bottle of Jameson,negative feelings,
13990,mixed drink,cold,
42361,wife,way,
116316,beds,elevator,
97,soda,odor,
6760,force,Strong smell,
15137,noise,not well ,
19847,issue,disappointment All,
41863,hours tea coffee,,
53785,Hospitality room,hot tub minor ,
61461,water view,wife,
64395,mixed drink,hot tub minor ,
40804,Pizza,wife,
15030,way,key card,
16736,bill,elevator,
17234,soda,,
23819,late service,not recommend,
25000, Great hotel. , loved it,
63467,snacks,water view,
64809,issue,mixed drink,
67817,hot tub minor ,Pizza,
83616,wife,way,
119004,key card,bill,
11362,elevator,soda,
40818,Clean rooms,Pool,
3064,weekend,hours tea coffee,
4133,YO bottle of Jameson,negative feelings,
8754,mixed drink,cold,
9718,wife,way,
10205,beds,elevator,
16659,soda,odor,
17322,force,Strong smell,
27973,noise,not well ,
41377,mixed drink,cold,
21660,wife,way,
49764,beds,elevator,
116733,soda,odor,
116997,force,Strong smell,
118013,noise,not well ,
440,issue,disappointment All,
17880,hours tea coffee,,
18255,Hospitality room,hot tub minor ,
18873,water view,wife,
41066,mixed drink,hot tub minor ,
42981,Pizza,wife,
43964,way,key card,
69200,bill,elevator,
10944,soda,,
17269,late service,not recommend,
17349, Great hotel. , loved it,
21402,snacks,water view,
64148,issue,mixed drink,
84920,beer,,
11728,weekend,,
13417,bad beer,,
15636,nice perk,dam kids,
17537,Clean rooms,Pool,
21733,floor guests,good food hot,
47046,floor guests,negative feelings,
3215,noise,YO bottle of Jameson,
20816,snacks,water view,
7015,issue,mixed drink,
40391,hot tub minor ,margharita sweey,
43924,wife,way,
13674,key card,bill,
23552,elevator,soda,
23862,Clean rooms,Pool,
25036,weekend,hours tea coffee,
28495,YO bottle of Jameson,negative feelings,
1801,mixed drink,cold,
8507,wife,way,
10100,beds,elevator,
12134,soda,odor,
20751,force,Strong smell,
21437,noise,not well ,
23484,issue,disappointment All,
1750,hours tea coffee,,
5871,Hospitality room,hot tub minor ,
17907,water view,wife,
18144,mixed drink,hot tub minor ,
40421,Pizza,wife,
59848,way,key card,
6946,bill,elevator,
9921,soda,,
40467,late service,not recommend,
40834, Great hotel. , loved it,
47378,snacks,water view,
63793,issue,mixed drink,
2531,hot tub minor ,Pizza,
10566,wife,way,
24685,key card,bill,
6052,elevator,soda,
18551,Clean rooms,Pool,
34450,weekend,hours tea coffee,
41682,YO bottle of Jameson,negative feelings,
42605,mixed drink,cold,
372,wife,way,
2733,beds,elevator,
17967,soda,odor,
25831,force,Strong smell,
27855,noise,not well ,
2094,mixed drink,cold,
17580,wife,way,
19202,beds,elevator,
79240,soda,odor,
126818,force,Strong smell,
19116,noise,not well ,
19712,issue,disappointment All,
27523,hours tea coffee,,
4897,Hospitality room,hot tub minor ,
11504,water view,wife,
39987,mixed drink,hot tub minor ,
41313,Pizza,wife,
12447,way,key card,
39435,bill,elevator,
41854,soda,,
42937,late service,not recommend,
43448, Great hotel. , loved it,
50204,snacks,water view,
81759,issue,mixed drink,
78,beer,,
4013,weekend,,
8640,bad beer,,
23290,nice perk,dam kids,
25413,Clean rooms,Pool,
9232,floor guests,good food hot,
20166,floor guests,negative feelings,
20790,noise,YO bottle of Jameson,
27692,snacks,water view,
28252,issue,mixed drink,
53714,hot tub minor ,margharita sweey,
67652,wife,way,
13656,key card,bill,
24413,elevator,soda,
1563,Clean rooms,Pool,
7659,weekend,hours tea coffee,
43624,YO bottle of Jameson,negative feelings,
3305,mixed drink,cold,
21744,wife,way,
23537,beds,elevator,
40554,soda,odor,
40861,force,Strong smell,
82186,noise,not well ,
84047,issue,disappointment All,
282,hours tea coffee,,
2918,Hospitality room,hot tub minor ,
3814,water view,wife,
24455,mixed drink,hot tub minor ,
25419,Pizza,wife,
61232,way,key card,
75752,bill,elevator,
79290,soda,,
7032,late service,not recommend,
12346, Great hotel. , loved it,
108745,snacks,water view,
11023,issue,mixed drink,
23335,hot tub minor ,Pizza,
57119,wife,way,
84777,key card,bill,
122999,elevator,soda,
2902,Clean rooms,Pool,
34873,weekend,hours tea coffee,
46883,YO bottle of Jameson,negative feelings,
7145,mixed drink,cold,
15151,wife,way,
20742,beds,elevator,
27202,soda,odor,
55479,force,Strong smell,
4372,noise,not well ,
24157,mixed drink,cold,
34560,wife,way,
6973,beds,elevator,
10860,soda,odor,
11032,force,Strong smell,
11800,noise,not well ,
12633,issue,disappointment All,
26711,hours tea coffee,,
120307,Hospitality room,hot tub minor ,
3380,water view,wife,
7636,mixed drink,hot tub minor ,
11352,Pizza,wife,
17725,way,key card,
24880,bill,elevator,
25324,soda,,
2374,late service,not recommend,
8748, Great hotel. , loved it,
24292,snacks,water view,
3674,issue,mixed drink,
43987,beer,,
63454,weekend,,
119306,bad beer,,
123424,nice perk,dam kids,
52915,Clean rooms,Pool,weekend
588,floor guests,good food hot,beer
9558,floor guests,negative feelings,
13312,noise,YO bottle of Jameson,shelf
14291,snacks,water view,Evening Hoers D\'Vours
15992,issue,mixed drink,cold
18565,hot tub minor ,margharita sweey,city
22427,wife,way,beds
23687,key card,bill,
46417,elevator,soda,
978,Clean rooms,Pool,
10494,weekend,hours tea coffee,
24654,YO bottle of Jameson,negative feelings,
69638,mixed drink,cold,
83079,wife,way,
4503,beds,elevator,
8917,soda,odor,
9029,force,Strong smell,
20274,noise,not well ,
25159,issue,disappointment All,
3728,hours tea coffee,,
21243,Hospitality room,hot tub minor ,
22529,water view,wife,
25253,mixed drink,hot tub minor ,
67753,Pizza,wife,
1,way,key card,
148,bill,elevator,
4624,soda,,
11654,late service,not recommend,
12349, Great hotel. , loved it,
21869,snacks,water view,Evening Hoers D\'Vours
67441,issue,mixed drink,cold
71552,hot tub minor ,Pizza,city
20647,wife,way,beds
47139,key card,bill,
79070,elevator,soda,
22299,Clean rooms,Pool,
26868,weekend,hours tea coffee,
15328,YO bottle of Jameson,negative feelings,
15875,mixed drink,cold,
21774,wife,way,
126749,beds,elevator,
5528,soda,odor,
7348,force,Strong smell,
7511,noise,not well ,
10182,mixed drink,cold,
19976,wife,way,
25401,beds,elevator,
40790,soda,odor,
104241,force,Strong smell,
117836,noise,not well ,
15397,issue,disappointment All,
22326,hours tea coffee,,
41255,Hospitality room,hot tub minor ,
42841,water view,wife,
50454,mixed drink,hot tub minor ,
9095,Pizza,wife,
9826,way,key card,
12860,bill,elevator,
18660,soda,,
20110,late service,not recommend,
24079, Great hotel. , loved it,
25265,snacks,water view,Evening Hoers D\'Vours
63987,issue,mixed drink,cold
67418,beer,,
25644,weekend,,
6658,bad beer,,
7777,nice perk,dam kids,
10426,Clean rooms,Pool,
19305,floor guests,good food hot,
24174,floor guests,negative feelings,
